word,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
belangrijke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,13.0,0.0,13.0,17.0,19.0,23.0,21.0,20.0,24.0,21.0,20.0,24.0,20.0,13.0,26.0,23.0,23.0,23.0,25.0,26.0,29.0,24.0,25.0,25.0,14.0,24.0,22.0,27.0,13.0,12.0,15.0,15.0,13.0,0.0,0.0,11.0,12.0,19.0,18.0,15.0,19.0,22.0,16.0,13.0,12.0,12.0,12.0,12.0,14.0,14.0,0.0,0.0,17.0,20.0,17.0,15.0,24.0,23.0,22.0,28.0,25.0,17.0,36.0,22.0,26.0,24.0,30.0,26.0,28.0,32.0,44.0,35.0
belgische,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,53.0,50.0,46.0,39.0,20.0,24.0,20.0,36.0,41.0,18.0,19.0,24.0,24.0,27.0,24.0,25.0,18.0,16.0,20.0,14.0,19.0,31.0,25.0,15.0,12.0,20.0,19.0,21.0,17.0,14.0,13.0,13.0,14.0,18.0,20.0,23.0,28.0,16.0,32.0,18.0,16.0,11.0,0.0,11.0,23.0,16.0,12.0,15.0,26.0,21.0,13.0,14.0,27.0,24.0,15.0,0.0,12.0,0.0,12.0,12.0,15.0,19.0,18.0,15.0,29.0,19.0,21.0,20.0,25.0,22.0,23.0,19.0,18.0,19.0,20.0,17.0,28.0,30.0,31.0,47.0,40.0,31.0,29.0
berlijnsche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,11.0
besch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,17.0,12.0,15.0,0.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beslist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,11.0,14.0,12.0,0.0,0.0,21.0,12.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,13.0,12.0,12.0,13.0,13.0,14.0,17.0,18.0,24.0,22.0,22.0,20.0,23.0,24.0,29.0,30.0,30.0,23.0,29.0,22.0,25.0,27.0,28.0,29.0,26.0,32.0,30.0
betrekkelijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,11.0,12.0,12.0,11.0,0.0,11.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,12.0,15.0,14.0,14.0,0.0,0.0,11.0,12.0,0.0,11.0,0.0,12.0,11.0,13.0,15.0,15.0,15.0,13.0,16.0,14.0,14.0,17.0,19.0,13.0,14.0,14.0,12.0,14.0,14.0,16.0,17.0,14.0,15.0
beurze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,17.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
bijzonder,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,17.0,0.0,19.0,19.0,12.0,12.0,16.0,14.0,17.0,16.0,15.0,15.0,15.0,14.0,17.0,20.0,18.0,16.0,20.0,19.0,18.0,22.0,18.0,18.0,18.0,15.0,15.0,17.0,23.0,21.0,25.0,15.0,16.0,19.0,22.0,19.0,20.0,20.0,24.0,23.0,25.0,15.0,16.0,12.0,14.0,18.0,14.0,19.0,15.0,16.0,19.0,20.0,16.0,24.0,21.0,21.0,18.0,19.0,18.0,20.0,24.0,18.0,24.0,23.0,24.0,28.0,30.0,29.0,33.0,34.0,33.0,33.0,33.0,32.0,34.0,38.0,33.0,30.0,36.0,37.0,34.0,34.0,35.0,39.0,41.0
bijzondere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,12.0,15.0,15.0,0.0,13.0,14.0,18.0,18.0,20.0,15.0,19.0,17.0,14.0,17.0,20.0,17.0,18.0,19.0,24.0,22.0,17.0,20.0,21.0,19.0,20.0,22.0,21.0,22.0,27.0,21.0,21.0,28.0,29.0,18.0,23.0,25.0,21.0,24.0,21.0,22.0,14.0,13.0,12.0,0.0,13.0,16.0,20.0,11.0,19.0,16.0,11.0,16.0,17.0,11.0,16.0,11.0,0.0,11.0,15.0,16.0,14.0,13.0,13.0,15.0,17.0,17.0,20.0,20.0,21.0,18.0,23.0,23.0,23.0,29.0,24.0,26.0,23.0,21.0,24.0,24.0,26.0,20.0,27.0
binnenlandsche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,11.0,19.0,13.0,13.0,0.0,0.0,11.0,0.0,11.0,0.0,14.0,13.0,13.0,14.0,14.0,17.0,20.0,20.0,21.0,11.0,17.0,19.0,15.0,13.0,25.0,17.0,18.0,20.0,16.0,16.0,23.0,22.0,24.0,22.0,25.0,13.0,15.0,17.0,14.0,0.0,16.0,18.0,21.0,17.0,35.0,24.0,21.0,20.0,22.0,20.0,23.0,22.0,26.0,23.0,26.0,23.0,25.0,23.0,26.0,26.0,31.0,34.0,33.0,38.0,26.0,22.0,28.0,32.0,32.0,37.0,31.0,22.0,26.0,30.0,28.0,36.0,34.0,33.0,34.0
blauwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,20.0,12.0,0.0,11.0,17.0,0.0,0.0,18.0,12.0,0.0,12.0,12.0,14.0,17.0,12.0,11.0,0.0,13.0,11.0,0.0,15.0,12.0,11.0
boelgaarsche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
